variable,group,value
2021-10-03,43008,11.0
2021-10-17,43008,16.0
2021-10-24,43008,7.0
2021-10-31,43008,15.0
2021-11-07,43008,16.0
2021-11-14,43008,13.0
2021-11-17,43008,20.0
2021-11-28,43008,15.0
2021-12-01,43008,5.0
2021-12-05,43008,6.0
2021-12-12,43008,18.0
2021-12-19,43008,22.0
2021-12-26,43008,20.0
2022-01-02,43008,27.0
2022-01-09,43008,31.0
2022-01-16,43008,39.0
2022-01-23,43008,40.0
2022-01-30,43008,33.0
2022-02-06,43008,18.0
2022-02-13,43008,7.0
2022-02-20,43008,5.0
2022-02-27,43008,5.0
2022-03-06,43008,0.0
2022-03-13,43008,0.0
2022-03-24,43008,0.0
2022-03-31,43008,0.0
2022-04-07,43008,0.0
2022-04-21,43008,0.0
2022-04-28,43008,0.0
2022-05-05,43008,7.0
2022-05-12,43008,8.0
2022-05-19,43008,0.0
2022-05-26,43008,0.0
2022-06-02,43008,6.0
2022-06-09,43008,8.0
2022-06-23,43008,5.0
2022-06-30,43008,0.0
2022-07-07,43008,10.0
2022-07-14,43008,10.0
2022-07-21,43008,11.0
2022-07-28,43008,13.0
2022-08-04,43008,6.0
2022-08-11,43008,8.0
2022-08-18,43008,11.0
2022-08-25,43008,5.0
2022-09-01,43008,8.0
2022-09-08,43008,14.0
2022-09-15,43008,10.0
2022-09-22,43008,0.0
2022-09-29,43008,0.0
2022-10-06,43008,0.0
2022-10-13,43008,0.0
2022-10-20,43008,0.0
2022-10-27,43008,0.0
2022-11-03,43008,0.0
2022-11-10,43008,0.0
2022-11-17,43008,0.0
2022-11-23,43008,0.0
2022-12-01,43008,0.0
2022-12-08,43008,0.0
2022-12-15,43008,0.0
2022-12-22,43008,0.0
2022-12-29,43008,0.0
2023-02-23,43008,0.0
2023-03-02,43008,0.0
2023-03-09,43008,0.0
2023-03-16,43008,0.0
2023-03-23,43008,0.0
2023-03-30,43008,0.0
2023-04-06,43008,0.0
2023-04-13,43008,0.0
2023-04-20,43008,0.0
2023-04-27,43008,0.0
2023-05-04,43008,0.0
2023-05-11,43008,0.0
2023-05-18,43008,0.0
2023-05-25,43008,0.0
2021-09-26,43009,20.0
2021-10-03,43009,18.0
2021-10-17,43009,10.0
2021-10-24,43009,8.0
2021-10-31,43009,0.0
2021-11-07,43009,0.0
2021-11-14,43009,0.0
2021-11-17,43009,7.0
2021-11-28,43009,6.0
2021-12-01,43009,6.0
2021-12-05,43009,5.0
2021-12-12,43009,8.0
2021-12-19,43009,13.0
2021-12-26,43009,12.0
2022-01-02,43009,15.0
2022-01-09,43009,22.0
2022-01-16,43009,20.0
2022-01-23,43009,35.0
2022-01-30,43009,29.0
2022-02-06,43009,19.0
2022-02-13,43009,6.0
2022-02-20,43009,0.0
2022-02-27,43009,0.0
2022-03-06,43009,0.0
2022-03-13,43009,0.0
2022-03-24,43009,0.0
2022-03-31,43009,0.0
2022-04-07,43009,0.0
2022-04-21,43009,0.0
2022-04-28,43009,0.0
2022-05-05,43009,0.0
2022-05-12,43009,0.0
2022-05-19,43009,0.0
2022-05-26,43009,0.0
2022-06-02,43009,0.0
2022-06-09,43009,0.0
2022-06-23,43009,0.0
2022-06-30,43009,0.0
2022-07-07,43009,0.0
2022-07-14,43009,7.0
2022-07-21,43009,9.0
2022-07-28,43009,11.0
2022-08-04,43009,13.0
2022-08-11,43009,7.0
2022-08-18,43009,5.0
2022-08-25,43009,0.0
2022-09-01,43009,0.0
2022-09-08,43009,6.0
2022-09-15,43009,5.0
2022-09-22,43009,0.0
2022-09-29,43009,5.0
2022-10-06,43009,0.0
2022-10-13,43009,0.0
2022-10-20,43009,0.0
2022-10-27,43009,0.0
2022-11-03,43009,0.0
2022-11-10,43009,5.0
2022-11-17,43009,0.0
2022-11-23,43009,0.0
2022-12-01,43009,0.0
2022-12-08,43009,6.0
2022-12-15,43009,5.0
2022-12-22,43009,5.0
2022-12-29,43009,0.0
2023-02-23,43009,0.0
2023-03-02,43009,0.0
2023-03-09,43009,0.0
2023-03-16,43009,0.0
2023-03-23,43009,0.0
2023-03-30,43009,0.0
2023-04-06,43009,0.0
2023-04-13,43009,0.0
2023-04-20,43009,0.0
2023-04-27,43009,0.0
2023-05-04,43009,0.0
2023-05-11,43009,0.0
2023-05-18,43009,0.0
2023-05-25,43009,0.0
2021-09-26,43010,0.0
2021-10-03,43010,0.0
2021-10-17,43010,0.0
2021-10-24,43010,0.0
2021-10-31,43010,0.0
2021-11-07,43010,0.0
2021-11-14,43010,0.0
2021-11-17,43010,0.0
2021-11-28,43010,0.0
2021-12-01,43010,0.0
2021-12-05,43010,0.0
2021-12-12,43010,0.0
2021-12-19,43010,8.0
2021-12-26,43010,0.0
2022-01-02,43010,0.0
2022-01-09,43010,0.0
2022-01-16,43010,0.0
2022-01-23,43010,7.0
2022-01-30,43010,0.0
2022-02-06,43010,0.0
2022-02-13,43010,0.0
2022-02-20,43010,0.0
2022-02-27,43010,0.0
2022-03-06,43010,0.0
2022-03-13,43010,0.0
2022-03-24,43010,0.0
2022-03-31,43010,0.0
2022-04-07,43010,0.0
2022-04-21,43010,0.0
2022-04-28,43010,0.0
2022-05-05,43010,0.0
2022-05-12,43010,0.0
2022-05-19,43010,0.0
2022-05-26,43010,0.0
2022-06-02,43010,0.0
2022-06-09,43010,0.0
2022-06-23,43010,0.0
2022-06-30,43010,0.0
2022-07-07,43010,0.0
2022-07-14,43010,0.0
2022-07-21,43010,0.0
2022-07-28,43010,0.0
2022-08-04,43010,0.0
2022-08-11,43010,0.0
2022-08-18,43010,0.0
2022-08-25,43010,0.0
2022-09-01,43010,0.0
2022-09-08,43010,0.0
2022-09-15,43010,0.0
2022-09-22,43010,0.0
2022-09-29,43010,0.0
2022-10-06,43010,0.0
2022-10-13,43010,0.0
2022-10-20,43010,0.0
2022-10-27,43010,0.0
2022-11-03,43010,0.0
2022-11-10,43010,0.0
2022-11-17,43010,0.0
2022-11-23,43010,0.0
